,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,Visit the boAt Store,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),349,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GQD4K6L/ref=sr_1_1_sspa?keywords=earphones&qid=1653389827&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwMTc2NDgzMk5MRFlTTVIzRUs5SyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1
1,Visit the boAt Store,"Boat Airdopes 141 42H Playtime, Beast Mode Enx Tech, ASAP Charge, Iwp, Ipx4 Water Resistance, Smooth Touch Controls Bluetooth Truly Wireless in Ear Earbuds with Mic (Bold Black)","1,499",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_2_sspa?keywords=earphones&qid=1653389827&sr=8-2-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwODY0NjA5M1M5U0taWEUzVkRYNCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1
2,Visit the boAt Store,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),349,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GQD4K6L/ref=sr_1_3?keywords=earphones&qid=1653389827&sr=8-3&th=1
3,Brand: WORRICOW,"WORRICOW Best Buy Earphones Wired in-Ear Earbuds w/Mic, Noise Cancelling Sports Earphones Compatible with All 3.5 mm Jack Mobile Phone",199,-,"Monday, May 30",In stock.,https://www.amazon.in/WORRICOW-Earphones-Earbuds-Cancelling-Compatible/dp/B0B21GRHQY/ref=sr_1_omk_4?keywords=earphones&qid=1653389827&sr=8-4
4,Visit the JBL Store,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",-,7 Days Replacement,"Friday, May 27",,https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_5?keywords=earphones&qid=1653389827&smid=A14CZOWI0VEHLG&sr=8-5
5,Visit the ZEBRONICS Store,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible.(Red)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Drivers-Compatible/dp/B09PV1DFNJ/ref=sr_1_6?keywords=earphones&qid=1653389827&sr=8-6
6,Visit the boAt Store,boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),499,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/BassHeads-152-Secure-Braided-Earphones/dp/B07KY3K2YG/ref=sr_1_7?keywords=earphones&qid=1653389827&sr=8-7&th=1
7,Visit the Ambrane Store,"Ambrane Stringz 38 Wired Earphones with Mic, Powerful HD Sound with High Bass, Tangle Free Cable, Comfort in-Ear Fit, 3.5mm Jack (Green), Normal",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Ambrane-Stringz-Earphones-Powerful-Comfort/dp/B08V58PTDC/ref=sr_1_8?keywords=earphones&qid=1653389827&sr=8-8
8,Brand: boAt,boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),499,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_9?keywords=earphones&qid=1653389827&sr=8-9
9,Visit the ZEBRONICS Store,"Zebronics Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_10?keywords=earphones&qid=1653389827&sr=8-10
10,Visit the boAt Store,"Boat Rockerz 245V2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12Mm Drivers, Ipx5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Navy Blue)",999,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-Rockerz-245v2-Bluetooth-Resistance/dp/B097DTJRWZ/ref=sr_1_11_sspa?keywords=earphones&qid=1653389827&sr=8-11-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwNzkwNDIyM1UwRVJES1IzSTZVVCZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
11,Visit the boAt Store,"Boat Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Upto 14 Hours Playback, Lightweight Earbuds, 8Mm Drivers, Led Indicators and Multifunction Controls with Mic (Active Black)","1,299",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_12_sspa?keywords=earphones&qid=1653389827&sr=8-12-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwMzcxMTg0MjNJUjFXS1VUTUpKWiZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
12,Visit the boAt Store,boAt Bassheads 162 in Ear Wired Earphones with Mic(Jazzy Blue),449,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/BassHeads-162-Secure-Braided-Earphones/dp/B07KXNS51J/ref=sr_1_13?keywords=earphones&qid=1653389827&sr=8-13
13,Visit the PTron Store,"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Pride-Lite-Headphones-Cancelling-Tangle-Free/dp/B08SF85H45/ref=sr_1_14?keywords=earphones&qid=1653389827&sr=8-14
14,Visit the boAt Store,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),379,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GPXXNNG/ref=sr_1_15?keywords=earphones&qid=1653389827&sr=8-15
15,Visit the JBL Store,JBL C50HI Wired in Ear Earphones with Mic (Blue),499,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/JBL-C50HI-Ear-Headphones-Blue/dp/B07JQKR35P/ref=sr_1_16?keywords=earphones&qid=1653389827&sr=8-16
16,Visit the Ambrane Store,"Ambrane Stringz 38 Wired Earphones with Mic, Powerful HD Sound with High Bass, Tangle Free Cable, Comfort in-Ear Fit, 3.5mm Jack (Pink), Normal",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Ambrane-Stringz-Earphones-Powerful-Comfort/dp/B09CQ66TG7/ref=sr_1_17?keywords=earphones&qid=1653389827&sr=8-17
17,Brand: boAt,boAt Bassheads 105 Wired in Ear Earphones with Mic (White),449,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Bassheads-105-Wired-Headset-White/dp/B08YYRDCDV/ref=sr_1_18?keywords=earphones&qid=1653389827&sr=8-18
18,Brand: boAt,"Boat Rockerz 245V2 Integrated Controls and Lightweight Design Bluetooth Wireless in Ear Earphones with Mic and Upto 8 Hours Playback, 12Mm Drivers, Ipx5, Magnetic Eartips (Active Black)",999,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Rockerz-Bluetooth-Immersive-Resistance-Assistant/dp/B07TXVLB1G/ref=sr_1_19?keywords=earphones&qid=1653389827&sr=8-19
19,Visit the boAt Store,boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),399,7 Days Replacement,"Saturday, May 28",In stock.,https://www.amazon.in/BassHeads-102-Earphones-Multi-Function-Microphone/dp/B07S8PSW59/ref=sr_1_20?keywords=earphones&qid=1653389827&sr=8-20
