,brandname,smartphonename,colour,ram,storagerom,primarycamera,secondarycamera,displaysize,batterycapacity,price,product_url
0,Redmi Note 11,"Redmi Note 11 (Starburst White, 64 GB)  (4 GB RAM)",Starburst White,4 GB,64 GB,50MP Rear Camera,Dual Camera Lens,16.33 cm (6.43 inch),5000 mAh,"12,940",https://www.flipkart.com/redmi-note-11-starburst-white-64-gb/p/itm2a388ca843b21?pid=MOBGBGARKRPMV86Z&lid=LSTMOBGBGARKRPMV86ZTMS81K&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBGARKRPMV86Z.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
1,Redmi Note 11,"Redmi Note 11 (Space Black, 128 GB)  (6 GB RAM)",Space Black,6 GB,128 GB,50MP Rear Camera,Dual Camera Lens,16.33 cm (6.43 inch),5000 mAh,"15,732",https://www.flipkart.com/redmi-note-11-space-black-128-gb/p/itm2a388ca843b21?pid=MOBGBHCK9HJQZNBK&lid=LSTMOBGBHCK9HJQZNBKRIPEOL&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBHCK9HJQZNBK.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
2,Redmi Note 11,"Redmi Note 11 (Space Black, 64 GB)  (6 GB RAM)",Space Black,6 GB,64 GB,50MP Rear Camera,Dual Camera Lens,16.33 cm (6.43 inch),5000 mAh,"13,739",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCKZNYYG5QA&lid=LSTMOBGBHCKZNYYG5QAV5VRNQ&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBHCKZNYYG5QA.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
3,Redmi Note 11,"Redmi Note 11 (Horizon Blue, 128 GB)  (6 GB RAM)",Horizon Blue,6 GB,128 GB,50MP Rear Camera,Dual Camera Lens,16.33 cm (6.43 inch),4G VOLTE,"15,699",https://www.flipkart.com/redmi-note-11-horizon-blue-128-gb/p/itm2a388ca843b21?pid=MOBGBGAMRJGHTKUM&lid=LSTMOBGBGAMRJGHTKUMDR4PNP&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBGAMRJGHTKUM.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
4,Redmi Note 11,"Redmi Note 11 (Horizon Blue, 64 GB)  (4 GB RAM)",Horizon Blue,4 GB,64 GB,Yes,Primary Camera,16.33 cm (6.43 inch),"4G VOLTE, 4G","12,945",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAETVKA2NEZ&lid=LSTMOBGBGAETVKA2NEZYX3LOA&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBGAETVKA2NEZ.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
5,Redmi Note 11 PRO Plus 5G,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)  (6 GB RAM)",Mirage Blue,6 GB,128 GB,108MP Rear Camera,Dual Camera Lens,16.94 cm (6.67 inch),5000 mAh,"21,399",https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-128-gb/p/itmd029928dc2e7e?pid=MOBGCQR7KJTRFSJM&lid=LSTMOBGCQR7KJTRFSJMMCKPG2&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGCQR7KJTRFSJM.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
6,REDMI Note 11T 5G,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Aquamarine Blue,6 GB,128 GB,50MP Rear Camera,Dual Camera Lens,16.76 cm (6.6 inch),5000 mAh,"17,485",https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBG9G3W5TBBXNTK&lid=LSTMOBG9G3W5TBBXNTKJC3NBW&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBG9G3W5TBBXNTK.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
7,REDMI Note 11T 5G,"REDMI Note 11T 5G (Stardust White, 128 GB)  (8 GB RAM)",Stardust White,8 GB,128 GB,50MP Rear Camera,Dual Camera Lens,16.76 cm (6.6 inch),5000 mAh,"18,880",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G6YVZYQY7ZZ&lid=LSTMOBG9G6YVZYQY7ZZANDXQO&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBG9G6YVZYQY7ZZ.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
8,Redmi Note 11,"Redmi Note 11 (Space Black, 64 GB)  (4 GB RAM)",Space Black,4 GB,64 GB,Yes,Primary Camera,16.33 cm (6.43 inch),"4G VOLTE, 4G","13,235",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCHRPUQY9AT&lid=LSTMOBGBHCHRPUQY9ATLYCDTP&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBGBHCHRPUQY9AT.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
9,REDMI Note 11T 5G,"REDMI Note 11T 5G (Matte black, 64 GB)  (6 GB RAM)",Matte black,6 GB,64 GB,50MP Rear Camera,Dual Camera Lens,16.76 cm (6.6 inch),5000 mAh,"18,217",https://www.flipkart.com/redmi-note-11t-5g-matte-black-64-gb/p/itm0dd08e65983e7?pid=MOBG9G53BDH4GH4H&lid=LSTMOBG9G53BDH4GH4HZXVLZE&marketplace=FLIPKART&q=Redmi+Note&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=7c2870d4-dbe4-467d-b651-ed69fe61fe6c.MOBG9G53BDH4GH4H.SEARCH&ppt=hp&ppn=homepage&ssid=ee56i6wq6o0000001653568473961&qH=096f5169305747ee
